PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
EfDoO,5rk1/pp2Qpp1/2p5/3n2P1/1P1P4/2PB1P2/q6P/4R1K1 w - - 1 28,d3h7 g8h7 g5g6 h7h6 e7h4 h6g6 g1h1 f7f5 e1g1 g6f7,3177,134,89,1714,advantage endgame hangingPiece quietMove veryLong,https://lichess.org/5rKKgJX0#55,
80e31,r2k2Br/ppp2Q2/1bnp4/4pb2/1P2P2N/2PP2P1/P2q4/R4R1K b - - 1 22,d2h6 f1f5 c6e7 a1f1 h8g8 f5h5,3146,135,88,613,crushing hangingPiece long middlegame quietMove,https://lichess.org/pf1WHo7G/black#44,
E1XTD,5Q2/4r1pk/2pqPp1p/1p3P1P/p2Pb3/P3B3/1P4P1/5RK1 w - - 6 34,e3h6 h7h6 f1f2 h6h7 h5h6 g7g6 f5g6 e4g6,3143,137,91,865,advantage endgame hangingPiece veryLong xRayAttack,https://lichess.org/Ell24UHk#67,
NLvYo,8/8/2p1k1p1/Q2r2K1/5PP1/1P6/P5b1/8 w - - 1 53,a5d5 c6d5 f4f5 g6f5 g4f5 e6e7 a2a4 g2e4 b3b4 d5d4,3122,118,92,1130,crushing defensiveMove endgame hangingPiece veryLong,https://lichess.org/hG4lHa3F#105,
tpig8,7Q/3b1q2/8/4pk2/1pr5/p3BP1P/3R1K1P/8 w - - 0 48,d2d7 f7d7 h8g8 c4d4,3122,123,88,1052,advantage defensiveMove endgame hangingPiece short,https://lichess.org/ar3SLuBS#95,
cMos5,8/8/2r4p/5R1K/4kPP1/6P1/8/8 w - - 1 55,g4g5 e4f5 g3g4 f5e6 g5h6 e6f7 g4g5 c6c1 f4f5 c1h1,3106,136,87,611,crushing endgame hangingPiece quietMove rookEndgame veryLong,https://lichess.org/JDr6Knrn#109,
uKc9a,2rq1rk1/4nppp/bpn1p3/p2pP3/3P4/P4N2/1PBN1PPP/2RQ1RK1 w - - 5 14,c2h7 g8h7 f3g5 h7g8 d2e4 e7f5 d1h5 f5h6 e4f6 g7f6 g5e6 d8e7,3100,131,90,2845,advantage hangingPiece opening quietMove veryLong,https://lichess.org/ajmhkm82#27,Sicilian_Defense Sicilian_Defense_Old_Sicilian
6s7tZ,8/8/8/r4P2/6PK/2p5/3k4/2R5 w - - 1 59,c1c3 d2c3 g4g5 c3d4 g5g6 d4e5 g6g7 a5a1 f5f6 e5f6 g7g8n f6g7 g8e7 a1a5 h4g3 g7f6 e7c6 a5a4 g3f2 a4c4 c6a5 c4c3 f2e1 f6e5 e1d2 e5d4,3099,107,90,976,crushing defensiveMove endgame hangingPiece master quietMove rookEndgame veryLong zugzwang,https://lichess.org/WiXlYWDP#117,
dFXCx,r2q4/4kr2/1nb4Q/1p1pP3/PbpP1P2/2N5/1B4PP/5RK1 b - - 0 25,d8g8 h6c6 f7g7 f1f2 g8e6 c6b5 b4c3 f4f5 e6h6 f5f6 e7f7 f6g7,3096,137,90,2533,advancedPawn advantage discoveredAttack exposedKing fork hangingPiece middlegame quietMove veryLong,https://lichess.org/Uh1P1Qw7/black#50,
6oYbQ,8/2p5/2N5/1pPk2P1/pP3K2/P7/8/5b2 w - - 1 55,g5g6 d5c6 f4g5 f1h3 g6g7 h3e6,3094,103,91,1054,crushing defensiveMove endgame hangingPiece long quietMove,https://lichess.org/294HzmLA#109,
